14282 26553 2
10898 26553 4
10893 26553 12
9348 4045 65
6780 28056 9
15909 8387 2
29726 26553 3
30796 4045 4
22053 4045 415
24952 26553 3
17464 26553 2
34883 4045 4
35403 4045 1
11231 8387 1
26049 8387 16
27673 26553 8
33071 8387 1
19433 26553 16
5073 39539 2
30332 4045 5
33549 28056 2
14790 4045 2
24896 26553 2
21549 8387 3
25123 39539 1
29570 28056 2
13931 4045 1
22126 4045 80
29812 4045 3
10002 4045 14
25201 4045 443
28682 39539 4
8484 8387 10
34678 39539 1
16243 39539 4
38430 39539 2
9901 4045 1
521 39539 12
10191 26553 2
37352 26553 9
11232 4045 20
527 39539 2
15921 39539 1
24321 39539 1
19119 4045 4
32941 39539 1
32149 39539 2
746 26553 1
23069 28056 2
11593 26553 3
21191 4045 2
2883 39539 1
13562 4045 6
13563 4045 9
298 4045 1
25812 4045 63
35626 39539 2
27184 28056 1
4757 39539 2
22469 8387 3
36140 26553 3
29602 26553 1
10541 8387 3
8704 4045 1
7051 39539 3
5494 4045 13
5729 4045 28
1550 28056 1
29392 8387 26
31512 4045 17
37578 39539 127
3409 26553 6
4892 39539 2
25137 8387 2
24008 26553 5
32964 39539 5
32015 4045 8
1928 4045 179
1224 26553 7
15898 39539 1
24776 4045 7
27559 26553 4
35839 28056 1
12975 28056 2
22011 39539 2
32142 8387 35
26295 26553 2
38063 39539 1
22032 39539 2
36706 26553 8
13751 8387 552
13751 28056 2
32129 26553 43
39979 39539 1
36009 26553 2
3648 4045 7
33601 37703 2231
37180 8387 5
14957 39539 2
23463 4045 2
10832 26553 2
30592 39539 12
11850 4045 1
27014 8387 108
38020 26553 1
25116 39539 2
7275 4045 8
25114 39539 2
38317 4045 41
26725 8387 3
4181 26553 1
26435 39539 3
8566 4045 26
10784 4045 45
20687 28056 26
30568 4045 2
11705 26553 3
35732 39539 16
26303 4045 3
27988 39539 1
6752 39539 4
17699 4045 2
13224 8387 1
24566 39539 1
36372 8387 6
9177 26553 4
35401 39539 1
6810 39539 4
32787 26553 1
12699 39539 2
29474 39539 683
34865 4045 2
5428 39539 1
14354 8387 9
28363 4045 8
28217 8387 14
36885 39539 7
37056 26553 5
5222 26553 4
11900 26553 2
34314 39539 9
7306 4045 39
21063 39539 2
35051 8387 6
24453 8387 2
23185 26553 4
32846 39539 7
10225 39539 1
6428 4045 16
32114 4045 7
35413 26553 10
37726 39539 1
30554 4045 57
19581 39539 1
3558 28056 2
29749 39539 2
30682 26553 8
37511 39539 2
21009 39539 3
15523 4045 1
32421 39539 463
35463 39539 1
35461 39539 6
5920 8387 2
10681 4045 19
32456 26553 5
39270 26553 7
15944 39539 2
35694 26553 3
24109 4045 1
19419 4045 9
16873 8387 1
14065 39539 3
27580 8387 2
7911 39539 1
38808 26553 5
35143 4045 5
26708 4045 1
21225 8387 2
11162 39539 16
9385 26553 3
19356 8387 1
30594 8387 1
15963 39539 18
6246 39539 2
13212 39539 1
20717 39539 1
20716 39539 2
30895 39539 1
15304 39539 1
14558 8387 4
18820 39539 2
2062 39539 3
6620 4045 1
21006 26553 4
30189 39539 1
32494 28056 22
11518 4045 2
10330 4045 7
23658 39539 2
22975 26553 1
6184 39539 1
33702 39539 4
24996 8387 6
25572 26553 2
8080 4045 2
2159 39539 17
33077 4045 91
6637 4045 154
36111 4045 14
12358 4045 33
27758 30278 1
17660 4045 5
2903 26553 18
18108 8387 2
13514 4045 2
24889 39539 4
15789 26553 1
24898 39539 2
5331 39539 1
29959 39539 3
34228 39539 2
14311 26553 9
14310 26553 5
24831 39539 1
24457 4045 1
15677 8387 9
33055 26553 7
34230 39539 1
34743 39539 1
12628 39539 2
1457 4045 40
21993 39539 1
3863 26553 2
21011 4045 2
6378 26553 15
19751 28056 5
27491 26553 12
8312 8387 1
16885 4045 2
18156 39539 1
473 26553 4
28987 8387 1
22947 4045 1
26825 26553 6
18747 26553 48
38631 8387 36
25236 39539 2
566 4045 1
27240 39539 8
15371 26553 1
30502 8387 1
784 8387 5
2269 39539 3
14828 28056 47
7372 26553 5
28308 4045 7
21231 4045 3
15684 4045 1
12942 39539 2
14032 39539 4
17732 39539 2
33577 4045 1
12974 4045 17
29055 4045 1
4872 8387 5
11258 39539 1
21312 4045 7
25012 26553 2
30163 26553 63
39656 39539 2
7987 4045 2
38379 4045 1
39379 4045 2
36122 8387 2
12700 26553 4
29550 4045 43
8719 39539 1
24422 4045 1
8250 39539 1
22486 39539 2
22214 26553 1
33127 39539 1
5155 4045 9
12744 4045 1
8505 26553 4
6514 26553 2
10612 39539 5
33632 4045 4
858 26553 15
28832 26553 2
24617 4045 3
5273 8387 1
12847 8387 3
38886 26553 3
12955 4045 2
16746 28058 252
39693 4045 76
14151 8387 1
17453 26553 1
16179 4045 63
24904 4045 1
38885 26553 2
39746 4045 1
30888 30278 2
15540 26553 2
25729 39539 288
23976 39539 2
34668 39539 1
31031 26553 7
14989 4045 22
32736 8387 3
18410 8387 1
2790 4045 1
15071 39539 2
7094 26553 5
33151 26553 5
38904 28056 37
2016 28056 4
22315 26553 4
11946 4045 39
2601 39539 5
3303 39539 7
6782 28056 2
7785 39539 2
18677 4045 3
36700 8387 59
14285 39539 2
5755 8387 3
32298 39539 2
15360 39539 1
39542 4045 2
26461 4045 20
14712 4045 1
37907 26553 22
7962 26553 2
10324 8387 16
32191 30278 92
33987 4045 1
24314 39539 1
3919 8387 160
27083 26553 29
37066 8387 3
14754 4045 66
2735 4045 1
25941 4045 6
39829 4045 32
6205 4045 2
12265 39539 1
4275 39539 12
6983 4045 194
29377 39539 1
1835 4045 467
22250 26553 4
14783 26553 5
38463 4045 14
6161 26553 5
24748 4045 2
1035 39539 2
24747 4045 6
15222 8387 6
28417 8387 22
4904 26553 10
36830 8387 2
19023 4045 4
9280 39539 1
20857 4045 15
12831 8387 2
2536 4045 7
4308 39539 2
1765 4045 1
16335 39539 1
23407 39539 6
37422 4045 31
23349 8387 3
20885 4045 1
33788 4045 3
18779 28056 96
30613 4045 10
16130 26553 3
22203 26553 2
35737 26553 2
38503 39539 1
30127 39539 2
17130 8387 1
8406 26553 4
34363 4045 1
6523 26553 1
16841 26553 52
11831 26553 255
14468 26553 8
19938 26553 24
18631 28056 2
730 4045 1
12642 4045 2
35758 39539 6
21910 8387 49
5023 39539 1
8310 26553 1
35090 26553 47
34089 39539 1
27793 26553 2
13110 26553 2
21910 28056 1
4164 39539 1
17306 39539 3
34742 26553 8
33189 28056 1
6802 26553 47
25585 39539 4
25689 4045 6
499 26553 6
9234 8387 1
18549 8387 10
9801 39539 1
10540 4045 9
21546 4045 11
12776 4045 1
24731 26553 5
20841 4045 3
38279 8387 1
31632 26553 3
35036 4045 11
10397 39539 3
9313 4045 25
26824 39539 1
29908 8387 2
6758 39539 2
10036 26553 21
28650 4045 6
3986 4045 1
24421 39539 1
7347 8387 3
35716 4045 2
35362 4045 2
31895 39539 1
39296 39539 728
15982 26553 3
13233 11694 28
29879 39539 1
17459 8387 24
29874 39539 6
25025 8387 8
33251 28056 2
33251 8387 22
5463 4045 31
3165 26553 1
30424 39539 1
16515 8387 1
18023 26553 2
5711 8387 5
20264 26553 31
31833 4045 4
22549 39539 1
34667 39539 11
26602 26553 9
5364 8387 5
22450 26553 2
39580 4045 106
15486 4045 2
12300 4045 6
7725 4045 1
32249 39539 2
31432 39539 1
29413 39539 2
28367 28056 6
16723 26553 1
39959 26553 2
1839 26553 2
10255 4045 61
9367 26553 1
6962 4045 4
9560 8387 5
5848 39539 2
7018 4045 19
20849 4045 3
15750 8387 2
20392 4045 4
29003 26553 4
7260 26553 9
10304 4045 35
12022 39539 1
44 8387 4
37344 4045 7
9935 4045 1
22624 39539 48
16043 39539 1
3722 4045 1
36170 39539 1
36169 39539 2
6392 39539 1
1699 39539 639
26596 39539 2
13966 39539 1
15776 8387 10
4985 39539 1
36266 8387 2
28115 39539 38
18946 39539 4
32146 39539 1
27313 39539 5
6694 26553 16
29327 4045 11
23813 28056 77
21037 4045 1
15976 4045 15
15122 26553 1
30161 4045 56
22723 26553 2
1140 8387 3
38460 4045 4
11140 4045 4
53 26553 10
1144 28056 4
14628 39539 2
17459 26553 11
2719 4045 2
12953 8387 2
37810 8387 1
8357 8387 4
28470 39539 2
23648 4045 4
26552 28056 58
7085 39539 1
26556 28056 244
39297 39539 2
12659 8387 7
20335 39539 3
1403 39539 24
26552 8387 100
17436 39539 1
15522 39539 2
10248 4045 9
2802 4045 13
33284 8387 22
259 4045 1
39163 26553 432
15888 39539 8
21887 26553 2
13822 39539 10
27207 28056 33
31351 4045 2
17304 26553 12
2453 26553 1
24244 28056 25
18004 8387 6
25644 39539 2
3828 26553 4
13904 39539 2
17872 4045 4
7851 28056 4
278 39539 5
4684 39539 1
31815 4045 3
13502 39539 6
14498 4045 1
32488 4045 1
34107 26553 3
28346 4045 31
34105 26553 2
1344 39539 2
22734 39539 1
3953 4045 4
20363 8387 1
17402 4045 2
504 26553 2
1787 4045 2
8765 39539 4
15584 4045 128
28342 4045 2
7333 26553 3
3960 39539 10
29888 8387 3
14909 26553 2
18875 28056 1
24805 39539 1
12468 8387 2
5715 26553 2
27395 26553 3
10861 39539 1
16488 39539 1
20869 39539 7
2913 4045 2
29043 26553 1
28536 4045 38
5286 8387 7
1320 28056 4
33595 8387 22
24788 4045 1
21485 28056 4
11939 26553 11
29865 26553 2
6230 39539 2
28565 4045 1
12623 4045 12
29919 4045 81
31786 4045 4
2833 26553 2
12757 39539 42
38713 4045 1
28847 8387 6
1948 4045 2
1208 8387 1
13058 26553 6
27058 26553 2
15147 4045 14
15062 26553 1522
8003 39539 2
38453 26553 2
21601 4045 104
29611 4045 51
18122 4045 5
37670 26553 16
22068 39539 3
31696 39539 2
17595 26553 1
19752 39539 9
37789 4045 8
5032 39539 2
23504 8387 4
31076 26553 4
22148 26553 69
4537 8387 11
28850 8387 3
1829 4045 1
27836 4045 1
15605 4045 6
18148 39539 2
33160 39539 2
2519 39539 3
39037 4045 22
9740 26553 12
9591 26553 2
35757 39539 1
18574 8387 1
32750 39539 2
6311 4045 1
9931 39539 1
23296 30278 6
11820 35439 7
35036 39539 1
28082 4045 4
39346 4045 2
26963 39539 1
28516 4045 4
10190 28056 2
24817 4045 2
25556 4045 15
33087 26553 1
25555 4045 3
6692 8387 9
9418 8387 1
16712 8387 44
829 8387 24
32540 4045 246
17868 8387 7
1891 4045 4
24729 4045 3
18052 39539 3
12093 8387 1
1609 28056 5
20524 4045 1
37601 4045 242
15343 8387 1
22454 8387 2
20446 4045 2
7230 8387 19
37766 26553 3
1796 39539 3
4061 4045 1
11804 26553 2
19868 26553 3
19337 39539 1
21509 26553 6
8477 26553 132
29916 8387 1
14427 8387 2
32015 26553 3
23386 4045 2
4859 4045 4
277 39539 4
36203 4045 6
31079 39539 4
11314 39539 4
4895 26553 2
38136 4045 2
35643 39539 1
21037 28058 364
18270 4045 5
7630 4045 1
21037 28056 133
18850 26553 4
13965 26553 11
24085 26553 7
36516 28056 309
3050 4045 132
21505 39539 2
33356 4045 41
38691 8387 1
31285 39539 17
34308 39539 1
6450 26553 4
17765 4045 16
28312 28056 3
36070 39539 7
458 4045 129
12254 4045 1
21639 8387 2
