24595,32638,1
20718,13031,2
32839,18624,1
17731,36005,4
31829,32362,2
17551,8253,2
11750,40545,2
12400,26668,1
27504,25752,1
23933,28334,1
14463,9692,2
36981,26850,1
1123,33623,3
37291,29753,3
6925,25720,2
13209,22311,2
18511,15871,1
33424,2201,2
29914,4146,1
1123,13122,2
35305,26168,2
38264,19649,1
24060,36025,3
27380,13701,4
18901,35862,2
19497,16309,1
3523,39041,1
22171,2283,1
5340,33786,1
33182,20991,3
30215,41432,1
18566,20239,1
135,8007,1
26353,40323,2
41901,9766,2
2243,13452,2
30596,31968,1
39027,18682,1
4093,14420,3
20361,3157,2
33510,32350,2
37824,5039,1
4141,36610,2
26696,34798,2
2820,32260,1
25407,35474,2
6166,20729,3
36044,24318,1
7282,40949,1
32633,17485,3
36529,36342,1
10127,33505,1
34397,15771,2
38913,18519,1
36407,5149,1
33271,9958,2
39696,18511,2
13891,30621,1
1580,36977,1
41929,13351,3
32638,17010,2
39686,24162,2
27101,37013,62
12023,21564,1
41096,23343,1
9745,13120,1
3044,25354,1
36177,11646,1
16271,37564,1
38542,37710,2
9070,38504,1
31944,21566,2
31434,37740,3
27512,20920,1
39261,19682,1
4093,1275,3
32633,11786,2
20060,31944,2
19814,10587,2
24849,7348,2
27835,2423,3
41515,18363,1
18836,20971,1
21307,22384,2
14925,5771,2
32800,32091,1
18708,5601,3
18572,40265,1
1598,32194,1
31235,41249,3
16122,25300,3
5149,9127,1
5399,7663,2
25952,27490,2
16977,33957,1
23218,4058,4
772,32584,1
32796,34804,1
18873,36167,1
19295,35076,2
32733,31282,3
32334,8318,2
23218,20408,1
19272,23994,1
41052,12078,2
8483,5993,3
7923,21892,2
9809,2999,2
21745,13628,2
12124,40445,1
14159,31464,1
28198,18586,2
33122,10829,2
6166,8946,3
12724,30819,1
21277,13795,1
2609,8507,1
18255,2526,2
10970,6837,1
13167,28829,1
16947,6840,2
34021,5487,2
7196,22872,1
1907,18363,1
7820,20064,3
10836,39087,1
16649,38499,3
9211,32342,2
34909,13919,2
22560,39587,1
27845,29084,2
38657,25752,2
21955,12161,4
25148,30409,3
34187,5778,2
19380,12431,1
36168,36603,1
11694,4191,1
32551,11026,3
10170,15717,1
666,36847,2
3092,39780,2
13532,19007,2
3993,24224,3
16764,14830,1
7185,15067,4
15760,26632,2
36407,3791,1
21146,5049,1
32645,41428,2
28564,25734,2
11131,20241,2
23811,21725,1
37297,19007,2
1474,4117,1
22334,6186,1
18093,34326,1
41601,27621,3
31944,24208,1
11933,7536,2
13590,31642,2
15069,3068,1
15010,10176,1
12757,27820,1
11933,36342,2
27061,22290,2
17203,24474,1
35572,1636,1
32387,30947,2
26441,37729,2
3542,23246,2
31671,19655,2
26094,6180,2
84,341,1
24153,22533,1
13855,16811,3
35928,14227,2
18682,7431,1
26648,5119,5
8406,20692,1
31944,21277,13
6162,8302,3
27010,7157,3
11939,33373,1
7969,4406,1
17884,5810,1
15786,8527,2
37366,33733,1
19034,25318,5
32742,21678,2
14533,10874,2
11805,10355,1
29996,39442,1
40336,24720,2
12757,29509,3
7306,27820,2
13122,24953,8
21079,35263,1
11587,13881,3
41975,7881,1
19545,34750,1
38125,34649,1
9520,18567,1
28564,2668,2
23501,35199,1
25848,9388,1
4353,25630,1
558,84,1
20044,27852,1
9698,18754,2
7348,35098,2
22616,17560,1
11317,14228,1
35249,20895,2
31943,19191,1
32341,32861,2
982,12130,4
15071,4263,1
36422,33399,1
38208,38208,1
12468,38645,1
2803,21201,1
6319,265,3
14289,468,1
41877,7359,3
15522,13096,1
22858,29729,3
25946,32695,2
26184,13541,2
16238,40273,1
35132,22130,3
24233,24011,1
26809,23210,1
18591,5872,3
32898,8711,1
6364,4550,1
21835,20016,1
111,27056,2
37876,35903,1
17340,7923,2
5600,10356,2
5492,13148,1
28582,5630,1
35097,35928,1
9541,7881,2
34260,34389,3
25609,9069,3
6259,6211,2
34260,34386,1
19899,35263,1
30934,3993,3
8174,24277,1
38747,3626,1
31860,1503,2
24068,7536,1
3485,11590,12
13673,6237,1
12061,24984,1
32050,3692,3
25300,21703,1
3854,22032,1
9206,40592,3
315,35514,3
16047,36407,2
34782,14323,2
25975,32,1
3978,21142,1
15244,24975,2
31898,22653,1
34795,12152,3
27102,39013,2
13855,39986,1
12252,24573,2
5842,37629,2
9321,15202,1
38067,10874,2
37536,13688,1
21631,11933,1
6276,24181,2
1775,40957,2
35857,25833,1
6186,1728,2
7663,40480,1
15255,15759,1
11191,8712,2
1462,6403,3
20986,27010,1
21659,2609,1
7663,40475,1
30406,27010,8
33846,14914,4
34429,9618,3
4133,22566,1
25396,36329,1
15615,32695,2
15432,16282,3
877,16587,2
33846,8174,1
2119,5016,1
32505,6025,3
27807,35263,1
31283,28744,1
21877,24358,2
24151,29041,1
9863,5907,1
4618,32890,1
11858,2491,1
40074,34885,1
14152,7881,3
10741,6979,3
9732,8860,2
39873,5146,2
29890,24297,1
5697,32562,2
23217,25619,1
830,32476,5
30411,13990,1
36177,24937,1
24427,10532,1
11794,37276,3
21736,22401,6
8169,30191,6
1872,10601,2
24003,14062,1
13122,31479,1
22191,30248,1
16254,4462,1
32050,31808,2
38614,20788,1
3181,12348,1
37525,34814,1
13209,16685,2
9094,13855,2
21582,39295,1
25300,5435,2
21449,27396,1
18054,25429,1
17977,22616,2
34132,34759,1
11204,3395,3
30188,36559,1
40701,25720,4
35648,16870,1
34132,34755,2
17007,25300,2
10009,38115,2
34425,2990,3
31270,31570,2
29927,5601,1
36654,3201,1
41861,32995,2
6978,25626,1
12987,13015,1
37015,36329,2
11493,40401,2
28330,38175,2
35654,17545,1
34652,33510,7
20458,32687,3
19222,20208,2
19869,8183,1
17265,31655,2
12678,33957,2
36773,1275,1
6281,33099,1
4637,34397,2
17143,3548,1
19097,29394,1
6133,6339,2
36407,5146,1
2619,36228,1
12573,30581,1
37267,27010,2
40040,7938,3
40800,29543,1
15717,34215,4
3416,2527,1
31735,16709,3
40985,27742,2
34673,19869,1
26608,39682,1
18606,395,2
37441,31079,2
25301,9842,1
34690,38159,2
30968,99,3
5963,13931,1
14195,23685,2
37126,30369,3
11805,670,3
29757,27600,3
12256,32051,1
34690,26642,3
14058,24680,1
21368,12040,1
2355,10510,1
33881,28559,1
11933,13680,3
21601,3500,1
25255,24646,2
20602,15268,1
22058,17866,1
22730,41510,3
18959,26713,3
13221,3975,1
8302,38175,14
32036,20923,1
173,11139,3
18334,27023,2
41877,35050,3
28486,32277,1
22122,31397,10
9739,24352,1
21566,31387,1
23710,3106,2
32579,40412,3
11,22920,1
31387,24133,2
1973,22064,1
13084,11256,1
33567,14200,1
38695,41592,2
84,31048,2
1041,4404,1
23226,35404,2
26756,40258,1
39572,26464,1
18042,24343,2
32050,34292,1
30619,25975,6
3788,7881,3
13530,9958,1
31933,10020,1
3106,18770,2
8614,12971,1
34082,37057,1
40273,3194,6
20777,28200,1
36747,14192,2
3605,17551,2
5850,33836,1
24581,32112,5
36,12878,1
16811,21795,1
12178,276,2
5737,13378,2
1083,4390,2
29313,35528,2
23778,39153,1
1603,1366,1
24436,24011,2
35817,11026,3
19215,27010,1
11805,6877,1
6450,696,1
19215,26997,1
37254,809,2
2317,13680,1
13938,37849,1
38499,32391,3
25229,37472,1
34435,41249,3
17607,38095,2
30411,30411,14
25975,38549,2
40230,36342,1
20427,39442,4
20814,2944,2
12468,36057,2
23799,27627,1
8820,38048,1
23774,20024,2
245,8861,1
36174,11694,3
31439,41943,2
25895,9094,3
25984,38199,2
1423,31870,1
28734,2147,12
21553,423,2
1423,22164,2
