23819 1159 1
14582 24786 47
17670 1159 1
7727 1159 4
7746 10447 16
29378 24785 2
29379 24786 2
36825 15096 2
14105 1159 43
3521 1159 7
39313 24786 4
13276 1159 2
20487 19734 1
20824 1159 2
6361 19734 2
13919 1159 2
1282 1159 1
6664 24786 2
10183 1159 1
2151 34974 2
22894 39101 3
33101 5309 2
22038 24785 2
35727 39101 25
32431 24786 463
33696 34974 1
6649 24785 1
34490 10447 3
6522 1159 1
39812 24786 1
7001 1159 1
2499 39101 6
10339 24786 1
1501 24786 2
21210 19734 1
28567 10447 2
29347 34967 8
39808 1159 2
15426 1159 3
9070 24785 2
10372 5309 3
7746 34970 12
26135 24786 2
28384 10447 29
25822 1159 3
28384 34970 5
27694 1159 2
28540 24785 19
30631 39101 3
30826 1159 3
3697 10447 1
26324 5309 4
11410 5309 2
14295 24785 2
11634 34967 2
25394 1159 2
24265 34967 9
14299 24786 6
811 34967 49
29608 1159 4
37708 24786 28
12943 5309 1
25509 5309 4
23569 1159 27
28069 34967 5
10454 1159 2
34544 1159 3
8908 1159 52
18466 39101 6
32414 19734 1
14193 34967 1
36708 1159 2
5441 24785 14
5441 24786 3
24650 24785 2
29579 24785 8
34335 34967 9
29579 24786 3
32670 34970 6
21276 24785 4
10270 5309 1
13954 34974 2
37632 24786 1
29916 1159 2
15303 24786 1
4689 24786 1
32218 24786 2
32218 24785 81
28102 1159 1
3023 24786 1
18414 24785 1
8576 39101 7
16372 24786 2
31464 34978 2
2836 34978 2
19328 1159 1
14609 34978 4
25530 24786 3
10392 1159 2
29213 24785 2
4313 34974 1
31110 1159 7
31573 1159 3
4699 1159 1
5026 24786 1
30116 15096 5
32626 24786 9
20909 1159 4
37384 24786 2
20601 34967 4
15538 24786 4
21469 24786 4
426 1159 2
36470 34970 10
36490 1159 1
15309 10447 5
12269 1159 20
29849 24786 8
36470 10447 8
24834 39101 2
34957 24786 5
35055 24786 1
17910 24786 4
16415 1159 28
6142 5309 6
20460 24786 1
1615 24785 19
18882 19734 1
11056 24785 6
13442 5309 2
31207 24786 7
29012 39101 5
7170 1159 2
58 34967 10
23149 1159 16
27441 34967 2
26333 24785 3
39370 24785 3
4581 724 2
15890 24786 1
14199 10447 10
8438 19734 11
29422 34967 1
26015 24786 1
4033 1159 33
11416 25097 1
7551 10447 12
21158 1159 3
30908 39101 3
2039 1159 34
6171 39101 11
35273 24786 5
7361 1159 1
34616 39101 10
26400 34974 6
36774 24786 3
